STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
255,ACB,3.0,70,BIDV,25370,70
256,OCB,2.0,67,ACB,25367,67
257,BIDV,2.0,75,ABBK,25375,75
258,MSB,1.0,72,Indovina,25372,72
259,NCB,2.0,75,ABBK,25375,75
260,OCB,1.0,75,BVBH,25375,75
261,TCB,3.0,77,ABBK,25377,77
262,MSB,3.0,77,VPB,25377,77
263,TCB,3.0,75,BIDV,25375,75
264,NCB,1.0,79,VBAH,25379,79
265,VIB,2.0,80,SABH,25380,80
266,ICBV,2.0,77,VIB,25377,77
267,ACB,3.0,80,SABH,25380,80
268,BIDV,1.0,82,MSB,25382,82
269,BIDV,1.0,76,VCCB,25376,76
270,NCB,1.0,80,BIDV,25380,80
271,VCCB,1.0,83,ICBV,25383,83
272,ICBV,2.0,80,VCB,25380,80
273,ACB,3.0,73,MSB,25373,73
274,TCB,2.0,72,BIDV,25372,72
275,LVBT,5.0,8,SABH,25308,8
276,VNTT,5.0,0,ICBV,25300,0
277,TPB,5.0,10,NCB,25310,10
278,SEAV,5.0,5,ICBV,25305,5
279,SGTT,4.0,98,VBAH,25398,98
280,Fubon,1.0,2,MB,25302,2
281,VCB,1.0,96,Fubon,25396,96
282,ACB,1.0,96,Fubon,25396,96
283,Fubon,1.0,0,MB,25300,0
284,OCB,1.0,0,Fubon,25300,0
285,MSB,2.0,99,PVCB,25399,99
286,SABH,1.0,92,ACB,25392,92
287,Fubon,1.0,60,VPB,25360,60
288,TCB,2.0,63,VNTT,25363,63
289,VNTT,1.0,70,Fubon,25370,70
290,VNTT,2.0,70,MSB,25370,70
291,VNTT,2.0,69,ICBV,25369,69
292,SABH,2.0,60,VNTT,25360,60
293,SABH,2.0,60,VNTT,25360,60
294,MSB,2.0,63,VNTT,25363,63
295,ICBV,2.0,61,VNTT,25361,61
296,VNTT,2.0,65,MB,25365,65
297,SABH,1.0,66,Fubon,25366,66
298,NCB,2.0,70,PVCB,25370,70
299,NCB,0.5,69,VBAH,25369,69
300,SABH,1.0,66,NCB,25366,66
301,TCB,3.0,63,VNTT,25363,63
302,VCB,1.0,68,VBAH,25368,68
303,Indovina,1.0,68,VCB,25368,68
304,VCB,1.0,68,VBAH,25368,68
305,TCB,20.0,60,ABBK,25360,60
306,VPB,20.0,60,TCB,25360,60
307,ICBV,2.0,61,TCB,25361,61
308,ABBK,5.0,65,PVCB,25365,65
309,TCB,5.0,65,LVBT,25365,65
310,HDB,1.0,66,VBAH,25366,66
311,HDB,10.0,65,NCB,25365,65
312,VNTT,3.0,50,PVCB,25350,50
313,PVCB,3.0,55,LVBT,25355,55
314,VCB,2.0,55,NCB,25355,55
315,PVCB,2.0,40,VCB,25340,40
316,VCB,2.0,55,MB,25355,55
317,PVCB,3.0,55,ACB,25355,55
318,ACB,3.0,58,VNTT,25358,58
319,PVCB,3.0,55,ACB,25355,55
320,BIDV,0.5,60,VNTT,25360,60
321,VCCB,0.5,55,BIDV,25355,55
322,BIDV,0.8,58,Indovina,25358,58
323,VCCB,0.8,56,BIDV,25356,56
324,MSB,1.0,55,Fubon,25355,55
325,ABBK,2.0,52,PVCB,25352,52
326,MB,2.0,45,ABBK,25345,45
327,SEAV,2.0,45,ABBK,25345,45
328,TCB,5.0,45,SGTT,25345,45
329,ICBV,2.0,45,NCB,25345,45
330,MB,3.0,40,MSB,25340,40
331,ACB,2.0,33,SEAV,25333,33
332,MSB,2.0,27,NABV,25327,27
333,NCB,0.5,25,VPB,25325,25
334,OCB,0.5,20,NCB,25320,20
335,NCB,2.0,23,BVBH,25323,23
336,BVBH,3.0,15,SABH,25315,15
337,VNTT,3.0,15,SABH,25315,15
338,MSB,5.0,20,ABBK,25320,20
339,ABBK,5.0,19,OCB,25319,19
340,MSB,5.0,5,ABBK,25305,5
341,MSB,5.0,8,ABBK,25308,8
342,EIBV,5.0,10,ABBK,25310,10
343,MSB,5.0,5,SEAV,25305,5
344,EIBV,5.0,5,SEAV,25305,5
345,SEAV,5.0,10,OCB,25310,10
346,VPB,5.0,0,MSB,25300,0
347,ABBK,5.0,0,VPB,25300,0
348,VPB,3.0,10,NCB,25310,10
349,KLBV,2.0,0,MSB,25300,0
350,MSB,2.0,0,SEAV,25300,0
351,SHB,5.0,97,SGTT,25397,97
352,SEAV,2.0,99,NCB,25399,99
353,MSB,5.0,92,TCB,25392,92
354,NABV,5.0,94,OCB,25394,94
355,OCB,5.0,94,NABV,25394,94
356,NCB,5.0,50,VPB,25350,50
357,MSB,5.0,60,VPB,25360,60
358,VNTT,5.0,70,VPB,25370,70
359,ABBK,2.0,80,VPB,25380,80
360,ICBV,5.0,77,VPB,25377,77
361,SEAV,5.0,80,VPB,25380,80
362,MSB,5.0,80,VPB,25380,80
363,TCB,2.0,86,VPB,25386,86
364,EIBV,5.0,94,NCB,25394,94
365,OCB,2.0,5,ABBK,25305,5
366,SGTT,5.0,10,MSB,25310,10
367,Fubon,3.0,5,OCB,25305,5
368,VNTT,2.0,10,ABBK,25310,10
369,ABBK,5.0,0,VPB,25300,0
370,VPB,5.0,10,ABBK,25310,10
371,VPB,3.0,10,OCB,25310,10
372,HDB,7.0,10,MSB,25310,10
373,BVBH,7.0,0,HDB,25300,0
374,SABH,1.0,2,HDB,25302,2
375,VNTT,2.0,20,BVBH,25320,20
376,VNTT,10.0,20,OCB,25320,20
377,Fubon,2.0,20,OCB,25320,20
378,Fubon,2.0,20,BIDV,25320,20
379,MSB,5.0,20,BIDV,25320,20
