STT,Buy_side,Amount,Price,Sell_side,Actual_price,Actual_price_2digit
292,VNTT,5.0,70,VPB,25370,70
293,ABBK,2.0,80,VPB,25380,80
294,SEAV,5.0,80,VPB,25380,80
295,MSB,5.0,80,VPB,25380,80
296,TCB,2.0,86,VPB,25386,86
297,MB,5.0,94,NCB,25394,94
298,MB,5.0,10,MSB,25310,10
299,Fubon,3.0,5,OCB,25305,5
300,VPB,5.0,10,ABBK,25310,10
301,VPB,3.0,10,OCB,25310,10
302,HDB,7.0,10,MSB,25310,10
303,BVBH,7.0,0,HDB,25300,0
304,SABH,1.0,2,HDB,25302,2
305,VNTT,2.0,20,BVBH,25320,20
306,VNTT,10.0,20,OCB,25320,20
307,Fubon,2.0,20,OCB,25320,20
308,Fubon,2.0,20,BIDV,25320,20
309,MSB,5.0,20,BIDV,25320,20
310,VPB,2.0,20,BVBH,25320,20
311,VPB,1.0,18,Indovina,25318,18
312,SHB,3.0,8,MSB,25308,8
313,ABBK,1.0,23,Fubon,25323,23
314,MB,1.0,23,MSB,25323,23
315,MSB,1.0,23,VCCB,25323,23
316,OCB,2.0,12,NABV,25312,12
317,NCB,5.0,23,ABBK,25323,23
318,SEAV,2.0,25,ABBK,25325,25
319,SEAV,2.0,25,MSB,25325,25
320,SEAV,10.0,25,NCB,25325,25
321,MSB,2.0,35,MB,25335,35
322,VIB,3.0,30,MSB,25330,30
323,OCB,4.0,30,SEAV,25330,30
324,SEAV,3.0,33,SABH,25333,33
325,MB,3.0,33,ABBK,25333,33
326,SEAV,3.0,33,SABH,25333,33
327,OCB,5.0,29,SEAV,25329,29
328,BIDV,5.0,32,SEAV,25332,32
329,MSB,4.0,26,SEAV,25326,26
330,OCB,5.0,20,SEAV,25320,20
331,NCB,2.0,17,BIDV,25317,17
